Identifier,OmekaID,Thumbnail
84830d6b-e225-44ee-ab19-0931c73e57bd,11483,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11483/P-III-b-0673_001.jpg
a445d204-9b48-478b-bcec-c8aec914f32d,10798,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/10798/P-III-a-0101_001.jpg
f9c55fa7-0f41-4158-b93d-2f7cf13f0398,12705,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12705/P-III-c-129_001.jpg
64f84f71-b1b4-415e-9eb2-90ace6e9beb2,12728,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12728/P-III-c-459_001.jpg
11790142-2c94-41ef-8faa-c125e593ebc8,12817,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12817/P-III-b-1006_001.jpg
e0df1572-f3da-461e-9086-dbd8770bb19c,11364,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11364/P-III-a-0741_001.jpg
b4102180-49c8-4abd-90ea-1e253d053214,13442,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13442/P-III-a-2073_001.jpg
47156818-3243-4139-ac9f-59261e24364c,12760,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12760/P-III-c-445_001.jpg
58429049-ccbf-4fe2-8e58-e3b64c553bfc,12186,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12186/P-III-c-198_001.jpg
4c19c4cf-9e65-43b5-824a-b3082c6361e2,13479,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13479/P-III-c-283_001.jpg
c983b863-80b6-4f7d-a74b-3b5644a2b4d3,11937,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11937/P-III-a-0657_001.jpg
f6c79599-f9d8-421e-8d66-42a6c0528052,11784,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11784/P-III-a-2601_001.jpg
688e85e4-30e8-4dca-8a97-4cdfe6445267,12871,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12871/P-III-b-0410_001.jpg
2dc79603-d252-405d-8882-b801f565f8d9,13548,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13548/P-III-c-266_001.jpg
30c7685d-6dcf-495f-bcee-439d9267ab2f,11453,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11453/P-III-b-0222_001.jpg
01fa4613-5e0e-4a39-b898-dd9f2cf1bded,12383,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12383/P-III-a-3268_001.jpg
59079387-c03c-4efe-983c-2cc70177efe0,11659,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11659/P-III-a-0862_001.jpg
ec5ae02a-c037-4919-b495-9b21c69f4cd4,12443,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12443/P-III-c-102_001.jpg
b19570bb-2ea0-4266-867e-306149d3ceb2,13260,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13260/P-III-a-3423_001.jpg
3cf9493a-d1ad-4fc5-864f-d9f7326ea3a9,11073,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11073/P-III-a-0135_0001.jpg
84fda22c-a79f-432e-b811-cb2b45bf5f35,13537,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13537/P-III-b-0163_001.jpg
9ad6cbee-7c84-46b3-88ce-0ab73795d15c,12555,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12555/P-III-a-1613_001.jpg
98a97996-515c-47f0-890b-8be1065e27e5,13622,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13622/P-III-a-2132_001.jpg
2eee1848-b971-4dd4-b22a-35a6ef89e9d3,12815,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12815/P-III-a-2999_001.jpg
81befc58-a218-4189-8591-9c48480cd3c6,11611,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11611/P-III-c-067_001.jpg
5f3d9e94-b009-4224-8d86-2dcb4088c6d7,12118,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12118/P-III-a-1190_001.jpg
